Datas_of_area_pull_green_11,Freq
1,19
3,348
6,2
7,44717
8,18
9,138
10,310
11,244
14,1270
15,61
16,209
17,7568
18,924
19,100
20,671
21,439
22,499
23,15
24,2849
25,22658
26,1124
28,628
29,497
30,2
31,282
32,433
33,23963
34,560
35,1433
36,3245
37,2597
38,41
39,1045
40,6969
41,48541
42,28138
43,9492
45,2
46,7
47,633
48,1
49,11878
51,573
52,8735
53,166
54,380
55,1836
56,1532
57,107
58,21
59,25
60,393
61,9410
62,1604
63,320
64,49
65,21466
66,18155
67,228
68,3
69,2219
70,811
71,980
72,951
73,130
74,54044
75,48348
76,2135
77,531
78,981
79,2
80,6554
81,350
82,40969
83,5234
85,918
86,32
89,2474
91,1131
92,6907
93,301
94,416
95,23521
96,31
97,27343
98,87
99,1
101,43
102,213
106,2856
108,351
109,1
111,48
112,10589
113,1
115,6
116,12581
117,100
118,4
119,659
120,112
121,884
122,137
123,719
124,105
126,515
127,2841
128,124
129,23851
130,12110
131,316
132,155
133,597
134,7268
135,481
136,717
137,1
138,148
139,76
140,1
145,12826
146,4168
147,484
148,4
149,773
150,285
151,3
152,6617
153,307
154,28
155,659
156,9
157,518
159,2377
160,283
162,1
163,3
164,2
165,827
166,38032
167,901
168,2260
169,939
171,209
173,2265
174,1440
175,93
176,1
177,1287
178,223
179,5827
180,154
181,28282
182,1585
183,262
184,132
185,687
186,1
187,10
188,3046
189,3392
190,725
191,321
192,466
193,2337
194,18
195,1082
196,8722
197,626
198,363
200,185
201,7
202,93
203,73
205,302
206,109
207,90
208,451
210,3327
212,1605
213,883
214,4
215,403
216,679
217,824
218,223
219,82
220,883
221,5
222,330
223,17909
225,3298
226,9713
227,431
228,1922
229,1
231,1
232,1
235,870
236,2340
238,5
239,1
240,72
241,682
242,2200
243,4765
244,20496
245,2
247,3299
248,520
249,1
250,878
251,2
252,101
253,19
254,641
255,29120
256,10712
257,566
258,308
259,210
260,19233
262,31
263,590
264,1019
265,210
