Datas_of_area_pull_yellow_12,Freq
1,732
2,7
3,41
4,23641
5,7
6,25
7,17312
8,81
9,42
10,2278
11,90
12,4614
13,82959
14,482
15,26
16,66
17,2298
18,111
19,102
20,44
21,79
22,122
23,15
24,28873
25,9774
26,228
27,2
28,561
29,60
31,31
32,56
33,9930
34,196
35,132
36,1109
37,2057
38,39
39,187
40,5155
41,34323
42,14704
43,146970
44,2
45,22302
46,2
47,105
48,299420
49,3271
50,80793
51,80
52,5376
53,54
54,378
55,84
56,365
57,30
58,4
59,4
60,80
61,1633
62,407
63,105
64,36
65,12959
66,4318
67,192
68,223712
69,401
70,1091
71,130
72,120
73,27
74,35360
75,64121
76,307
77,77
78,108
79,273766
80,4472
81,55
82,2909
83,1237
84,2
85,170
86,21
87,68492
88,35810
89,693
90,167200
91,161
92,373
93,918
94,70
95,1213
96,29
97,9364
98,39
99,1
100,191920
101,32
102,73
103,1
105,10
106,1475
107,229556
108,57
109,6
110,1
111,25
112,4425
113,153321
114,130458
115,8
116,11347
117,23
118,6
119,409
120,48
121,86
122,31
123,111
124,111
125,50784
126,120
127,898
128,57
129,5451
130,750
131,83
132,197370
133,510
134,513
135,211
136,148
137,117831
138,248873
139,43
140,157427
141,229543
142,308945
143,105281
144,105828
145,9547
146,9371
147,106
148,131285
149,77
150,33
151,86849
152,9374
153,90
154,36
155,85
156,3
157,440
158,92960
159,469
160,138
161,352423
162,316354
163,264878
164,228752
165,164
166,48828
167,231
168,2017
169,168
170,289408
171,76
172,2
173,432
174,95
175,63
176,3
177,213
178,108
179,6095
180,75
181,9995
182,120
183,24
184,7
185,54
186,327255
187,2
188,1059
189,2461
190,343
191,107
192,77
193,4632
194,343
195,462
196,705
197,301
198,265
199,3
200,77
201,10
202,383
203,46
204,3
205,81
206,6
207,450
208,58
209,17797
210,81
211,78410
212,120
213,123
214,21
215,733
216,806
217,699
218,126
219,585
220,223
221,7
222,52
223,4976
224,24828
225,838
226,15048
227,117
228,820
229,181550
230,323303
231,159470
232,16378
233,119496
234,293623
235,192
236,366256
237,401291
238,193006
239,258802
240,30
241,94
242,95
243,1943
244,10164
245,5
246,114022
247,1249
248,77
249,190868
250,112
251,9
252,99
253,14
254,66
255,10148
256,8158
257,251
258,103
259,79
260,5464
261,62867
262,115646
263,180574
264,173053
265,4516
