manhattan,freq
4,26353
12,2769
13,82048
24,27326
41,32252
42,14898
43,111624
45,21182
48,282648
50,82618
68,218078
74,31508
75,57626
79,290964
87,68463
88,35298
90,178289
100,186480
103,0
104,0
105,3
107,220393
113,159853
114,139941
116,11642
120,64
125,60195
127,1020
128,58
137,114737
140,150980
141,205072
142,257329
143,96830
144,111145
148,145654
151,78584
152,9678
153,109
158,111209
161,347053
162,308340
163,241138
164,221803
166,50594
170,291443
186,323300
194,375
202,443
209,17231
211,81598
224,27268
229,170281
230,311319
231,176430
232,19061
233,114159
234,313877
236,321199
237,342331
238,174042
239,229515
243,2045
244,9441
246,137939
249,208409
261,48395
262,106452
263,157413
